,Age,Gender,Tenure,Usage Frequency,Support Calls,Subscription Type,Contract Length,Total Spend,Churn,predicted,correct
3865,31,Female,6,19,3,Standard,Monthly,632,1,0,False
3869,46,Female,59,22,1,Basic,Quarterly,318,0,1,False
3870,29,Male,55,30,5,Premium,Monthly,125,0,1,False
3874,41,Female,43,24,1,Basic,Monthly,371,0,1,False
3875,54,Female,7,23,7,Basic,Annual,288,1,0,False
3885,55,Female,49,10,10,Basic,Quarterly,577,0,1,False
3909,62,Male,50,18,10,Standard,Annual,617,0,1,False
3921,47,Female,8,16,4,Standard,Annual,273,1,0,False
3924,42,Female,33,6,6,Standard,Annual,409,0,1,False
3926,23,Female,15,8,5,Basic,Quarterly,316,1,0,False
3928,23,Male,59,7,8,Standard,Annual,754,0,1,False
3938,40,Female,56,5,6,Premium,Quarterly,978,0,1,False
3943,61,Female,50,13,8,Premium,Annual,957,0,1,False
3956,20,Female,29,21,3,Standard,Monthly,634,1,0,False
3958,49,Male,29,18,10,Standard,Quarterly,596,0,1,False
3963,31,Female,52,2,9,Premium,Quarterly,343,0,1,False
3967,25,Male,25,27,9,Standard,Monthly,534,0,1,False
3976,43,Male,54,8,5,Standard,Annual,954,0,1,False
3995,44,Female,41,19,8,Premium,Monthly,180,0,1,False
4006,44,Female,24,10,6,Standard,Annual,209,0,1,False
4021,38,Female,11,1,4,Premium,Monthly,401,0,1,False
4024,48,Female,18,19,1,Standard,Monthly,451,1,0,False
4043,45,Male,29,11,10,Premium,Annual,372,0,1,False
4048,19,Male,54,29,8,Basic,Annual,406,0,1,False
4051,30,Female,60,4,9,Basic,Annual,466,0,1,False
4062,54,Female,49,25,0,Premium,Monthly,212,1,0,False
4064,34,Female,27,12,10,Basic,Quarterly,470,0,1,False
4074,28,Female,45,16,8,Premium,Annual,791,0,1,False
4085,20,Male,58,28,7,Premium,Annual,441,0,1,False
4112,62,Female,33,13,1,Premium,Monthly,980,0,1,False
4115,25,Female,45,21,1,Basic,Monthly,605,1,0,False
4128,21,Female,18,28,6,Standard,Annual,295,0,1,False
4129,47,Female,5,9,3,Standard,Quarterly,179,1,0,False
4148,38,Male,44,3,9,Premium,Annual,454,0,1,False
4153,52,Female,56,16,1,Standard,Monthly,806,0,1,False
4166,30,Female,29,30,1,Basic,Annual,229,1,0,False
4174,31,Female,16,27,4,Premium,Monthly,668,1,0,False
4189,59,Female,53,13,8,Standard,Monthly,948,0,1,False
4192,65,Male,52,26,7,Premium,Monthly,133,0,1,False
4200,19,Female,5,16,6,Premium,Monthly,628,1,0,False
4201,38,Female,35,3,8,Premium,Monthly,104,0,1,False
4203,35,Female,31,27,2,Premium,Annual,370,0,1,False
4206,23,Male,35,29,6,Basic,Quarterly,170,0,1,False
4207,38,Female,45,21,8,Basic,Annual,266,0,1,False
4223,34,Male,36,30,6,Basic,Monthly,307,0,1,False
4226,35,Female,36,14,8,Basic,Monthly,193,0,1,False
4277,27,Female,53,12,3,Standard,Quarterly,411,0,1,False
4282,32,Female,25,20,5,Premium,Quarterly,592,0,1,False
4300,31,Female,50,12,6,Premium,Annual,349,0,1,False
4301,26,Female,56,21,8,Standard,Annual,832,0,1,False
4303,64,Female,26,14,7,Standard,Quarterly,972,0,1,False
4305,48,Male,42,29,7,Premium,Monthly,978,0,1,False
4306,63,Male,37,21,6,Basic,Monthly,607,0,1,False
4308,42,Female,52,18,3,Standard,Monthly,506,1,0,False
4321,28,Female,8,14,10,Basic,Monthly,210,1,0,False
4335,46,Male,44,24,6,Premium,Quarterly,837,0,1,False
4340,40,Female,47,17,7,Standard,Quarterly,716,0,1,False
4347,52,Female,38,7,9,Standard,Monthly,812,0,1,False
4355,57,Female,45,28,1,Basic,Monthly,902,0,1,False
4358,49,Male,34,19,6,Premium,Monthly,824,0,1,False
4361,60,Male,37,24,8,Standard,Monthly,868,0,1,False
4364,46,Female,46,11,7,Basic,Annual,256,1,0,False
4365,46,Female,36,27,3,Premium,Quarterly,420,0,1,False
4367,32,Female,58,26,7,Basic,Quarterly,160,0,1,False
4370,55,Male,49,30,8,Premium,Monthly,506,0,1,False
4371,59,Male,24,7,6,Premium,Quarterly,243,0,1,False
4390,44,Female,43,5,2,Premium,Monthly,824,0,1,False
4404,20,Female,53,5,7,Standard,Annual,954,0,1,False
4419,44,Female,20,25,4,Premium,Quarterly,350,0,1,False
4425,23,Female,56,21,6,Premium,Monthly,338,0,1,False
4429,25,Male,39,9,7,Basic,Monthly,385,0,1,False
4437,32,Female,56,11,5,Basic,Monthly,836,0,1,False
4441,30,Female,2,12,0,Basic,Monthly,762,1,0,False
4448,34,Male,27,10,10,Standard,Monthly,941,0,1,False
4457,27,Male,52,18,8,Premium,Annual,785,0,1,False
4471,64,Female,41,17,2,Premium,Monthly,730,0,1,False
4481,35,Male,38,8,6,Basic,Monthly,815,0,1,False
4483,43,Male,43,24,7,Basic,Monthly,634,0,1,False
4486,55,Male,36,24,5,Standard,Quarterly,172,0,1,False
4492,56,Female,24,21,6,Standard,Annual,939,0,1,False
4515,22,Female,15,7,7,Standard,Monthly,807,0,1,False
4523,34,Female,43,4,5,Premium,Quarterly,256,0,1,False
4537,20,Male,57,17,10,Basic,Monthly,697,0,1,False
4547,48,Female,56,26,5,Basic,Quarterly,290,0,1,False
4548,40,Female,50,14,5,Premium,Monthly,875,0,1,False
4550,62,Female,35,8,7,Basic,Annual,514,0,1,False
4569,46,Female,11,26,6,Basic,Monthly,189,1,0,False
4581,21,Male,35,11,6,Standard,Monthly,124,0,1,False
4582,58,Female,33,18,9,Standard,Annual,508,0,1,False
4588,60,Female,51,20,10,Premium,Quarterly,337,0,1,False
4589,42,Female,21,26,4,Standard,Quarterly,388,0,1,False
4598,63,Female,24,14,4,Standard,Quarterly,420,0,1,False
4609,59,Male,47,26,7,Standard,Annual,119,0,1,False
4611,60,Female,10,10,10,Standard,Monthly,448,0,1,False
4613,20,Male,31,15,9,Premium,Quarterly,719,0,1,False
4616,39,Female,46,17,10,Premium,Monthly,872,0,1,False
4623,47,Male,31,27,7,Standard,Monthly,212,0,1,False
4630,42,Male,54,15,8,Basic,Annual,591,0,1,False
4639,28,Female,47,15,10,Basic,Annual,675,0,1,False
4640,43,Male,47,14,8,Standard,Quarterly,656,0,1,False
4645,33,Female,10,23,3,Basic,Monthly,152,0,1,False
4646,27,Male,45,14,10,Premium,Annual,228,0,1,False
4651,61,Female,9,15,9,Standard,Annual,337,1,0,False
4653,28,Female,22,29,0,Premium,Monthly,936,1,0,False
4656,40,Female,40,20,8,Premium,Quarterly,301,0,1,False
4669,46,Female,8,5,4,Standard,Quarterly,352,0,1,False
4670,33,Female,31,7,7,Basic,Annual,147,0,1,False
4677,37,Female,49,30,6,Premium,Quarterly,788,0,1,False
4678,33,Female,19,8,1,Premium,Annual,280,1,0,False
4682,19,Male,26,13,5,Standard,Quarterly,335,0,1,False
4687,34,Female,11,23,0,Basic,Annual,390,0,1,False
4692,41,Female,30,14,9,Basic,Monthly,273,0,1,False
4709,65,Female,32,4,3,Premium,Quarterly,304,0,1,False
4712,18,Female,53,16,4,Basic,Quarterly,489,0,1,False
4715,56,Female,35,24,3,Basic,Monthly,335,1,0,False
4726,34,Female,45,16,9,Premium,Quarterly,582,0,1,False
4728,61,Female,43,29,3,Standard,Monthly,947,0,1,False
4731,44,Female,19,19,0,Premium,Monthly,624,0,1,False
4746,33,Female,44,21,7,Standard,Monthly,798,0,1,False
4749,26,Male,28,30,10,Basic,Monthly,348,0,1,False
4765,33,Female,32,21,1,Premium,Annual,339,0,1,False
4771,46,Female,37,25,8,Standard,Monthly,546,0,1,False
4774,54,Female,7,11,8,Basic,Annual,234,1,0,False
4791,65,Female,20,17,1,Premium,Monthly,815,0,1,False
4796,18,Male,46,16,7,Premium,Annual,679,0,1,False
4801,42,Female,15,3,2,Standard,Annual,146,0,1,False
4810,39,Female,36,30,7,Standard,Quarterly,149,0,1,False
4820,21,Male,24,14,6,Standard,Quarterly,977,0,1,False
4824,40,Female,4,12,9,Standard,Quarterly,253,1,0,False
4834,44,Female,49,24,0,Basic,Quarterly,144,1,0,False
4853,52,Female,41,25,10,Premium,Monthly,401,0,1,False
4854,54,Female,18,2,0,Standard,Quarterly,377,0,1,False
4866,21,Female,25,13,8,Basic,Quarterly,177,0,1,False
4871,18,Female,26,18,0,Basic,Monthly,947,0,1,False
4873,34,Female,25,23,6,Basic,Quarterly,576,0,1,False
4877,48,Male,33,2,9,Basic,Monthly,815,0,1,False
4902,18,Male,57,11,7,Premium,Quarterly,951,0,1,False
4908,33,Female,44,21,6,Basic,Quarterly,774,0,1,False
4911,64,Female,49,11,4,Standard,Monthly,664,1,0,False
4914,42,Male,44,13,7,Standard,Quarterly,626,0,1,False
4918,52,Female,44,11,5,Basic,Monthly,706,0,1,False
4929,41,Male,56,26,5,Basic,Quarterly,181,0,1,False
4942,23,Female,10,2,8,Standard,Monthly,806,0,1,False
4951,45,Female,29,21,7,Premium,Annual,232,0,1,False
4953,32,Male,43,12,5,Standard,Monthly,264,0,1,False
4955,24,Female,21,11,2,Basic,Monthly,978,0,1,False
4958,27,Male,55,20,7,Standard,Annual,360,0,1,False
4963,46,Female,27,15,0,Standard,Annual,476,0,1,False
4969,46,Male,47,7,8,Basic,Quarterly,126,0,1,False
4975,22,Female,33,21,7,Standard,Annual,937,0,1,False
4981,40,Female,44,10,9,Premium,Annual,511,0,1,False
4988,56,Female,13,24,9,Standard,Monthly,655,0,1,False
4996,43,Female,7,16,5,Basic,Quarterly,401,0,1,False
5003,31,Female,23,4,8,Premium,Annual,125,1,0,False
5021,34,Male,26,17,5,Basic,Quarterly,815,0,1,False
5022,43,Female,3,12,10,Standard,Annual,447,1,0,False
5026,36,Female,40,4,5,Basic,Annual,979,0,1,False
5030,19,Female,30,22,8,Standard,Annual,884,0,1,False
5049,42,Female,17,13,9,Basic,Monthly,456,0,1,False
5052,49,Female,34,12,8,Premium,Annual,628,0,1,False
5057,42,Male,30,6,6,Standard,Annual,154,0,1,False
5059,19,Male,41,9,7,Premium,Monthly,798,0,1,False
5063,19,Female,25,15,6,Basic,Annual,758,0,1,False
5065,36,Female,38,19,2,Standard,Annual,262,1,0,False
5070,43,Female,18,29,7,Basic,Annual,380,1,0,False
5071,31,Female,50,19,5,Standard,Quarterly,819,0,1,False
5076,36,Male,29,13,5,Basic,Annual,517,0,1,False
5083,36,Female,12,4,3,Basic,Quarterly,224,0,1,False
5085,29,Female,36,8,6,Premium,Quarterly,331,0,1,False
5095,35,Female,51,16,7,Premium,Annual,144,0,1,False
5111,44,Female,50,27,7,Basic,Monthly,517,0,1,False
5120,53,Male,25,21,8,Premium,Monthly,307,0,1,False
5122,40,Male,51,21,5,Premium,Monthly,881,0,1,False
5128,27,Female,44,7,5,Basic,Annual,338,0,1,False
5129,20,Male,29,4,9,Standard,Quarterly,768,0,1,False
5132,55,Female,37,17,10,Basic,Quarterly,587,0,1,False
5139,38,Male,40,3,10,Basic,Monthly,508,0,1,False
5156,45,Male,37,30,6,Premium,Quarterly,529,0,1,False
5168,40,Female,15,24,8,Basic,Monthly,275,1,0,False
5171,22,Female,35,9,6,Premium,Quarterly,795,0,1,False
5180,33,Female,1,25,9,Premium,Quarterly,480,0,1,False
5185,47,Male,44,15,8,Basic,Annual,911,0,1,False
5188,52,Male,51,14,5,Standard,Monthly,537,0,1,False
5194,47,Female,37,12,10,Basic,Monthly,854,0,1,False
5205,34,Female,57,13,2,Standard,Quarterly,367,0,1,False
5216,51,Male,36,24,10,Basic,Annual,143,0,1,False
5229,62,Male,25,9,5,Basic,Monthly,868,0,1,False
5234,24,Male,30,20,7,Standard,Quarterly,815,0,1,False
5244,54,Female,53,27,8,Premium,Annual,568,0,1,False
5254,26,Male,26,6,10,Standard,Quarterly,374,0,1,False
5256,56,Female,35,10,9,Standard,Annual,471,0,1,False
5264,57,Female,34,6,4,Standard,Quarterly,242,1,0,False
5265,65,Female,50,29,5,Basic,Annual,768,0,1,False
5266,47,Female,51,17,0,Basic,Quarterly,148,1,0,False
5268,37,Female,39,18,6,Standard,Quarterly,450,0,1,False
5277,34,Male,33,9,8,Basic,Quarterly,825,0,1,False
5278,42,Male,32,22,6,Standard,Monthly,701,0,1,False
5282,27,Female,27,28,8,Basic,Monthly,465,0,1,False
5291,50,Female,36,9,9,Standard,Monthly,204,0,1,False
5310,34,Female,51,30,9,Basic,Quarterly,922,0,1,False
5317,48,Female,51,22,7,Standard,Quarterly,500,0,1,False
5321,51,Female,8,19,9,Premium,Monthly,125,0,1,False
5325,27,Female,58,1,2,Basic,Quarterly,285,0,1,False
5329,48,Male,39,4,9,Standard,Annual,300,0,1,False
5342,62,Male,29,29,5,Premium,Quarterly,550,0,1,False
5343,61,Male,60,27,6,Basic,Monthly,701,0,1,False
5345,64,Female,43,19,9,Premium,Quarterly,744,0,1,False
5367,31,Male,51,17,7,Standard,Quarterly,489,0,1,False
5368,64,Female,57,30,9,Basic,Annual,779,0,1,False
5369,22,Female,38,14,10,Premium,Quarterly,337,0,1,False
5372,52,Female,35,28,9,Premium,Monthly,274,0,1,False
5374,61,Male,32,20,8,Basic,Monthly,355,0,1,False
5376,30,Female,47,20,7,Standard,Quarterly,663,0,1,False
5391,20,Male,49,27,7,Basic,Annual,547,0,1,False
5395,25,Male,25,17,9,Premium,Annual,991,0,1,False
5403,28,Female,60,7,7,Basic,Quarterly,899,0,1,False
5406,20,Male,59,10,5,Premium,Quarterly,803,0,1,False
5412,49,Female,45,8,1,Standard,Monthly,647,0,1,False
5431,52,Female,34,24,2,Basic,Annual,215,0,1,False
5435,19,Female,4,26,9,Premium,Quarterly,306,0,1,False
5460,22,Male,29,3,7,Basic,Monthly,209,0,1,False
5463,65,Male,45,12,8,Standard,Quarterly,760,0,1,False
5464,36,Male,48,10,10,Premium,Monthly,849,0,1,False
5466,42,Female,29,10,7,Premium,Annual,250,0,1,False
5473,54,Female,41,12,10,Standard,Annual,300,0,1,False
5482,51,Female,55,27,4,Standard,Quarterly,314,0,1,False
5496,34,Female,57,9,8,Standard,Monthly,603,0,1,False
5504,57,Female,38,26,10,Standard,Annual,866,0,1,False
5508,58,Male,33,24,9,Standard,Monthly,758,0,1,False
5509,60,Female,46,15,4,Standard,Quarterly,380,0,1,False
5515,46,Male,46,21,8,Basic,Annual,995,0,1,False
5516,35,Female,7,14,2,Premium,Monthly,549,0,1,False
5518,39,Female,21,29,7,Basic,Quarterly,382,1,0,False
5531,36,Male,31,22,5,Basic,Annual,398,0,1,False
5534,59,Female,28,10,9,Standard,Quarterly,277,0,1,False
5553,35,Male,29,3,8,Standard,Annual,477,0,1,False
5560,18,Female,25,21,1,Standard,Monthly,629,0,1,False
5563,27,Female,46,19,7,Basic,Quarterly,716,0,1,False
5570,24,Female,45,18,8,Premium,Quarterly,826,0,1,False
5594,18,Female,55,22,5,Basic,Annual,203,0,1,False
5602,20,Female,24,18,6,Premium,Monthly,647,0,1,False
5604,31,Male,52,29,8,Basic,Quarterly,284,0,1,False
5620,46,Male,36,21,7,Basic,Monthly,233,0,1,False
5643,29,Male,41,27,9,Premium,Quarterly,161,0,1,False
5654,47,Female,42,21,5,Basic,Monthly,961,0,1,False
5664,24,Female,50,12,8,Premium,Annual,351,0,1,False
5682,18,Male,35,21,9,Premium,Monthly,189,0,1,False
5690,43,Female,27,6,2,Basic,Monthly,232,1,0,False
5710,43,Female,20,30,6,Premium,Annual,370,1,0,False
5723,26,Female,38,15,0,Basic,Monthly,565,1,0,False
5729,29,Female,55,10,10,Premium,Annual,299,0,1,False
5739,20,Female,31,22,6,Premium,Annual,874,0,1,False
5745,53,Female,47,24,8,Premium,Quarterly,323,0,1,False
5747,23,Female,58,1,9,Basic,Quarterly,737,0,1,False
5750,35,Female,60,12,10,Basic,Annual,634,0,1,False
5763,28,Female,18,15,9,Premium,Monthly,379,1,0,False
5765,57,Male,58,17,6,Premium,Quarterly,745,0,1,False
5766,41,Female,20,27,3,Basic,Monthly,541,0,1,False
5770,34,Male,24,27,7,Standard,Quarterly,703,0,1,False
5773,36,Female,37,26,7,Standard,Annual,750,0,1,False
5781,38,Female,12,11,4,Basic,Annual,397,1,0,False
5782,47,Female,6,22,0,Standard,Monthly,482,0,1,False
5792,43,Female,1,16,9,Premium,Monthly,547,1,0,False
5799,25,Female,60,13,3,Premium,Monthly,949,1,0,False
5802,25,Female,38,28,7,Basic,Annual,668,0,1,False
5804,41,Male,41,5,8,Premium,Quarterly,789,0,1,False
5806,20,Male,28,2,9,Basic,Monthly,353,0,1,False
5807,38,Female,44,18,4,Premium,Quarterly,496,0,1,False
5810,58,Female,49,18,4,Premium,Monthly,434,0,1,False
5813,26,Female,17,14,3,Premium,Quarterly,307,1,0,False
5815,37,Male,57,2,5,Basic,Monthly,584,0,1,False
5816,62,Female,36,16,10,Premium,Annual,563,1,0,False
5818,53,Male,47,30,6,Premium,Monthly,986,0,1,False
5829,49,Male,59,21,7,Premium,Annual,845,0,1,False
5834,38,Female,46,1,7,Basic,Quarterly,516,0,1,False
5837,38,Female,47,3,9,Standard,Quarterly,947,0,1,False
5849,45,Female,49,9,5,Premium,Monthly,958,0,1,False
5865,19,Male,59,6,8,Basic,Quarterly,456,0,1,False
5868,20,Female,9,11,10,Premium,Monthly,588,0,1,False
5878,46,Male,35,18,9,Premium,Monthly,995,0,1,False
5890,34,Female,42,4,8,Standard,Quarterly,436,0,1,False
5908,61,Male,30,12,10,Basic,Quarterly,142,0,1,False
5914,36,Female,56,28,1,Premium,Monthly,739,1,0,False
5925,28,Female,48,29,10,Basic,Annual,858,0,1,False
5937,63,Female,33,22,5,Premium,Monthly,442,0,1,False
5941,21,Female,43,30,6,Standard,Annual,804,0,1,False
5947,33,Female,38,8,8,Basic,Annual,623,0,1,False
5957,22,Female,48,4,9,Premium,Monthly,287,0,1,False
5973,20,Female,58,23,8,Premium,Annual,263,0,1,False
5988,43,Female,29,4,9,Premium,Monthly,775,0,1,False
5990,53,Male,52,21,10,Standard,Monthly,276,0,1,False
5994,23,Female,35,12,8,Basic,Monthly,779,0,1,False
6002,19,Male,30,27,5,Basic,Quarterly,677,0,1,False
6019,61,Female,36,2,0,Premium,Monthly,917,1,0,False
6023,27,Male,51,16,8,Basic,Monthly,548,0,1,False
6034,21,Male,46,27,6,Standard,Annual,272,0,1,False
6041,42,Female,17,22,9,Premium,Annual,431,1,0,False
6051,56,Female,44,20,3,Basic,Quarterly,438,0,1,False
6057,34,Female,47,9,7,Standard,Quarterly,727,0,1,False
6082,50,Female,42,27,9,Basic,Quarterly,375,0,1,False
6089,32,Male,58,29,8,Standard,Monthly,518,0,1,False
6107,23,Female,28,18,6,Premium,Quarterly,585,0,1,False
6111,25,Female,50,15,8,Premium,Monthly,234,0,1,False
6112,42,Female,57,16,10,Basic,Quarterly,926,0,1,False
6118,26,Male,47,12,10,Basic,Annual,902,0,1,False
6132,26,Female,37,15,7,Standard,Monthly,443,0,1,False
6133,23,Male,41,7,6,Premium,Quarterly,580,0,1,False
6146,47,Male,60,16,5,Premium,Quarterly,894,0,1,False
6161,34,Female,14,9,6,Standard,Monthly,407,1,0,False
6170,25,Female,55,29,9,Basic,Quarterly,762,0,1,False
6177,27,Female,25,8,5,Standard,Monthly,503,0,1,False
6183,42,Female,2,11,5,Premium,Monthly,936,0,1,False
6185,53,Male,45,27,6,Basic,Quarterly,535,0,1,False
6189,50,Female,24,11,2,Basic,Annual,169,1,0,False
6194,32,Female,40,22,9,Basic,Quarterly,614,0,1,False
6200,43,Female,38,8,6,Standard,Annual,486,0,1,False
6207,57,Female,58,20,10,Premium,Quarterly,532,0,1,False
6209,31,Male,37,12,10,Basic,Quarterly,878,0,1,False
6229,37,Female,44,17,7,Standard,Annual,851,0,1,False
6232,65,Female,2,16,6,Basic,Monthly,591,1,0,False
6235,50,Female,11,1,10,Premium,Monthly,468,0,1,False
6241,31,Male,57,16,8,Basic,Annual,463,0,1,False
6242,46,Female,52,23,3,Premium,Monthly,783,0,1,False
6243,43,Male,56,19,5,Premium,Quarterly,689,0,1,False
6254,32,Male,29,7,9,Standard,Monthly,127,0,1,False
6261,37,Male,43,8,5,Basic,Quarterly,679,0,1,False
6265,57,Male,27,25,5,Premium,Quarterly,698,0,1,False
6276,33,Male,43,20,8,Basic,Annual,627,0,1,False
6278,65,Male,24,28,5,Standard,Monthly,861,0,1,False
6279,57,Male,59,1,1,Standard,Annual,281,1,0,False
6286,48,Female,4,6,6,Standard,Monthly,508,0,1,False
6294,39,Male,3,1,3,Basic,Quarterly,140,1,0,False
6299,48,Female,7,4,0,Basic,Quarterly,344,0,1,False
6319,62,Male,40,27,6,Premium,Annual,430,0,1,False
6328,38,Female,20,6,0,Basic,Monthly,640,1,0,False
6329,18,Male,48,17,9,Premium,Monthly,130,0,1,False
6335,57,Male,41,11,5,Premium,Monthly,423,0,1,False
6336,51,Female,51,19,4,Standard,Monthly,647,1,0,False
6357,33,Female,7,10,1,Premium,Monthly,859,1,0,False
6358,57,Male,24,30,6,Premium,Annual,138,0,1,False
6359,37,Female,59,6,5,Premium,Monthly,576,0,1,False
6363,30,Male,42,12,9,Standard,Annual,788,0,1,False
6364,25,Female,1,29,2,Basic,Monthly,373,0,1,False
6373,42,Female,56,13,5,Standard,Monthly,261,0,1,False
6380,29,Male,34,26,9,Basic,Monthly,401,0,1,False
6384,22,Male,57,26,8,Basic,Annual,921,0,1,False
6401,56,Female,5,17,4,Basic,Quarterly,492,0,1,False
6404,60,Male,26,20,8,Basic,Monthly,361,0,1,False
6406,18,Male,58,30,8,Premium,Monthly,723,0,1,False
6418,46,Male,57,6,7,Premium,Quarterly,346,0,1,False
6424,46,Female,7,23,6,Basic,Monthly,228,1,0,False
6440,18,Female,32,8,8,Basic,Annual,812,0,1,False
6442,46,Male,43,1,5,Standard,Annual,609,0,1,False
6447,23,Female,33,21,6,Standard,Monthly,520,0,1,False
6456,32,Male,30,10,7,Standard,Annual,825,0,1,False
6462,58,Female,28,29,6,Standard,Monthly,298,0,1,False
6466,39,Male,36,10,8,Premium,Quarterly,803,0,1,False
6477,32,Male,50,30,6,Basic,Annual,368,0,1,False
6485,56,Male,39,12,9,Premium,Monthly,928,0,1,False
6486,40,Female,10,23,0,Basic,Monthly,407,1,0,False
6493,25,Female,40,22,9,Standard,Annual,981,0,1,False
6504,39,Female,48,23,7,Premium,Monthly,438,0,1,False
6516,36,Female,46,23,8,Basic,Annual,545,0,1,False
6522,40,Male,38,29,7,Standard,Monthly,196,0,1,False
6525,61,Female,32,18,1,Premium,Monthly,136,0,1,False
6530,35,Female,51,28,7,Basic,Annual,188,0,1,False
6533,41,Female,39,17,7,Basic,Monthly,110,0,1,False
6535,51,Male,42,8,7,Premium,Monthly,149,0,1,False
6562,27,Female,47,14,7,Standard,Quarterly,853,0,1,False
6564,47,Female,57,19,9,Standard,Quarterly,612,0,1,False
6580,56,Female,5,12,9,Basic,Monthly,312,0,1,False
6589,59,Male,58,30,10,Standard,Quarterly,802,0,1,False
6591,33,Female,55,22,6,Basic,Annual,331,0,1,False
6593,25,Male,34,20,8,Basic,Annual,973,0,1,False
6599,29,Male,43,12,9,Premium,Annual,983,0,1,False
6613,53,Male,29,29,9,Premium,Annual,488,0,1,False
6631,31,Female,35,3,8,Basic,Quarterly,917,0,1,False
6632,19,Female,9,10,1,Standard,Quarterly,107,0,1,False
6633,37,Male,35,30,10,Premium,Quarterly,966,0,1,False
6642,31,Male,33,6,5,Basic,Quarterly,225,0,1,False
6643,29,Female,53,12,9,Premium,Quarterly,979,0,1,False
6654,34,Female,55,27,5,Premium,Annual,744,0,1,False
6655,56,Female,43,19,6,Basic,Quarterly,306,0,1,False
6660,65,Female,30,17,7,Standard,Monthly,913,0,1,False
6673,33,Female,43,12,5,Standard,Monthly,315,0,1,False
6675,60,Male,51,22,7,Premium,Quarterly,735,0,1,False
6678,64,Male,31,29,6,Premium,Monthly,283,0,1,False
6679,40,Female,42,16,5,Standard,Annual,782,0,1,False
6685,40,Male,29,27,10,Premium,Annual,860,0,1,False
6694,37,Female,55,30,8,Basic,Annual,970,0,1,False
6707,36,Female,20,23,5,Basic,Monthly,923,1,0,False
6709,33,Female,36,30,8,Premium,Monthly,455,0,1,False
6715,39,Female,38,10,4,Premium,Monthly,881,0,1,False
6718,43,Male,54,19,10,Standard,Monthly,637,0,1,False
6724,41,Male,50,29,10,Standard,Quarterly,213,0,1,False
6727,65,Female,42,20,7,Basic,Annual,741,0,1,False
6748,25,Female,58,20,7,Premium,Quarterly,766,0,1,False
6749,51,Male,30,13,5,Standard,Annual,666,0,1,False
6757,36,Female,45,11,5,Basic,Monthly,899,0,1,False
6758,25,Female,54,12,5,Basic,Quarterly,754,0,1,False
6770,40,Male,58,6,6,Standard,Annual,836,0,1,False
6779,50,Male,46,30,10,Basic,Quarterly,860,0,1,False
6784,35,Male,24,3,5,Standard,Annual,389,0,1,False
6786,46,Female,45,4,2,Standard,Annual,464,1,0,False
6801,54,Female,48,18,5,Premium,Annual,713,0,1,False
6805,48,Female,53,25,10,Standard,Annual,923,0,1,False
6809,55,Male,50,12,8,Premium,Quarterly,735,0,1,False
6834,37,Female,55,28,5,Premium,Annual,788,0,1,False
6840,19,Female,41,23,1,Standard,Quarterly,252,1,0,False
6855,58,Female,8,19,6,Standard,Monthly,721,0,1,False
6876,44,Female,27,26,1,Standard,Monthly,123,0,1,False
6889,41,Male,53,6,9,Premium,Monthly,668,0,1,False
6892,44,Female,49,19,5,Basic,Annual,124,0,1,False
6895,18,Female,36,28,7,Standard,Annual,849,0,1,False
6898,21,Male,49,13,5,Premium,Annual,547,0,1,False
6902,58,Female,58,9,2,Premium,Monthly,547,0,1,False
6911,52,Female,36,14,6,Premium,Annual,117,0,1,False
6917,33,Female,34,21,8,Premium,Annual,665,0,1,False
6923,37,Female,47,28,7,Premium,Quarterly,753,0,1,False
6926,20,Female,32,9,9,Premium,Monthly,579,0,1,False
6937,44,Male,49,9,6,Premium,Quarterly,437,0,1,False
6940,25,Male,41,6,10,Basic,Quarterly,716,0,1,False
6945,51,Female,15,24,10,Premium,Monthly,437,0,1,False
6946,36,Female,57,4,3,Basic,Quarterly,182,0,1,False
6956,56,Female,30,17,3,Premium,Quarterly,343,0,1,False
6974,47,Male,59,26,6,Premium,Annual,944,0,1,False
6976,55,Female,13,18,5,Standard,Annual,370,1,0,False
6992,22,Female,39,14,5,Premium,Annual,866,0,1,False
7005,41,Female,52,15,7,Standard,Annual,445,1,0,False
7021,25,Male,60,16,10,Premium,Quarterly,680,1,0,False
7027,53,Female,30,9,8,Standard,Quarterly,299,0,1,False
7036,37,Female,48,19,9,Basic,Monthly,714,0,1,False
7037,21,Female,49,18,9,Premium,Quarterly,342,0,1,False
7069,62,Female,25,27,3,Basic,Annual,107,0,1,False
7072,36,Female,38,9,0,Premium,Quarterly,387,0,1,False
7092,63,Female,38,13,6,Premium,Quarterly,420,0,1,False
7098,62,Male,31,20,5,Standard,Annual,314,0,1,False
7110,49,Male,34,19,10,Premium,Annual,281,0,1,False
7111,26,Female,56,26,6,Basic,Quarterly,477,0,1,False
7120,58,Female,41,16,7,Basic,Quarterly,917,0,1,False
7123,49,Female,50,21,9,Standard,Monthly,346,0,1,False
7131,65,Male,37,9,8,Basic,Quarterly,697,0,1,False
7135,29,Female,60,14,8,Standard,Annual,647,0,1,False
7143,50,Female,40,21,1,Basic,Annual,193,0,1,False
7144,36,Male,53,3,6,Standard,Monthly,353,0,1,False
7147,49,Female,25,2,3,Standard,Monthly,652,1,0,False
7161,65,Male,60,16,6,Standard,Monthly,117,0,1,False
7163,31,Female,52,10,7,Basic,Monthly,241,0,1,False
7173,31,Female,56,1,4,Basic,Quarterly,443,1,0,False
